"Ator_principal","Frequencia","Porcentagem"
"Brad Hunt",1,0.014792899408284
"Brad Pitt",21,0.310650887573964
"Brad Renfro",1,0.014792899408284
"Bradley Cooper",10,0.14792899408284
"Bradley Gregg",1,0.014792899408284
"Brady Corbet",1,0.014792899408284
"Brahim Hadjadj",1,0.014792899408284
"Brandon LÃƒÂ³pez",1,0.014792899408284
"Brandon Lee",1,0.014792899408284
"Brandon Routh",3,0.0443786982248521
"Branko Djuric",1,0.014792899408284
"Breckin Meyer",4,0.0591715976331361
"Brenda Blethyn",1,0.014792899408284
"Brenda Vaccaro",1,0.014792899408284
"Brendan Fraser",15,0.22189349112426
"Brendon Ryan Barrett",1,0.014792899408284
"Brent Fellows",1,0.014792899408284
"Brent Gorski",1,0.014792899408284
"Brenton Thwaites",1,0.014792899408284
"Brett Dalton",1,0.014792899408284
"Brett Granstaff",1,0.014792899408284
"Brian Blessed",1,0.014792899408284
"Brian Cox",2,0.029585798816568
"Brian Geraghty",2,0.029585798816568
"Brian Hooks",1,0.014792899408284
"Brian Kerwin",1,0.014792899408284
"Brian Krause",1,0.014792899408284
"Brian O'Halloran",3,0.0443786982248521
"Brian Presley",1,0.014792899408284
"Brian Tee",1,0.014792899408284
"Briana Evigan",1,0.014792899408284
"Brianna Brown",1,0.014792899408284
"Bridget Fonda",1,0.014792899408284
"Bridgette Barrett",1,0.014792899408284
"Brie Larson",3,0.0443786982248521
"Brit Marling",1,0.014792899408284
"Britney Spears",1,0.014792899408284
"Britt Robertson",2,0.029585798816568
"Brittany Allen",1,0.014792899408284
"Brittany Murphy",2,0.029585798816568
"Brittany Snow",1,0.014792899408284
"Brontis Jodorowsky",1,0.014792899408284
"Brooke Shields",1,0.014792899408284
"Brooklynn Prince",1,0.014792899408284
"Bruce Allpress",2,0.029585798816568
"Bruce Campbell",5,0.0739644970414201
"Bruce Davison",1,0.014792899408284
"Bruce Dern",1,0.014792899408284
"Bruce Gleeson",1,0.014792899408284
"Bruce Greenwood",3,0.0443786982248521
"Bruce Lee",1,0.014792899408284
"Bruce Ramsay",1,0.014792899408284
"Bruce Willis",35,0.517751479289941
"Bruno Ganz",1,0.014792899408284
"Bryan Brown",2,0.029585798816568
"Bryan Cranston",2,0.029585798816568
"Bryan Martin",1,0.014792899408284
"Bryce Dallas Howard",3,0.0443786982248521
"Bubba Smith",1,0.014792899408284
"Bud Cort",1,0.014792899408284
"Burnie Burns",1,0.014792899408284
"Burt Lancaster",4,0.0591715976331361
"Burt Reynolds",12,0.177514792899408
"C. Thomas Howell",1,0.014792899408284
"CÃƒÂ©cile Breccia",1,0.014792899408284
"CÃƒÂ©cile de France",3,0.0443786982248521
"Caitlin Stasey",1,0.014792899408284
"Caitlyn Rund",1,0.014792899408284
"Caity Lotz",1,0.014792899408284
"Cal Robertson",1,0.014792899408284
"Caleb Landry Jones",1,0.014792899408284
"Cameron Diaz",10,0.14792899408284
"Camilla Belle",2,0.029585798816568
"Campbell Scott",1,0.014792899408284
"Candace Evanofski",1,0.014792899408284
"Carey Mulligan",4,0.0591715976331361
"Carice van Houten",1,0.014792899408284
"Carl Weathers",1,0.014792899408284
"Carla Gugino",1,0.014792899408284
"Carlo Cecchi",2,0.029585798816568
"Carlos Alazraqui",2,0.029585798816568
"Carlos Amezcua",1,0.014792899408284
"Carlos Areces",1,0.014792899408284
"Carlos Gallardo",1,0.014792899408284
"Carly Schroeder",1,0.014792899408284
"Carmen Electra",1,0.014792899408284
"Carmen Maura",1,0.014792899408284
"Carmina Villaroel",1,0.014792899408284
"Carol Kane",2,0.029585798816568
"Caroline Aaron",3,0.0443786982248521
"Carolyn Eby",1,0.014792899408284
"Carolyn Farina",1,0.014792899408284
"Carroll Baker",1,0.014792899408284
"Carter Jenkins",1,0.014792899408284
"Cary Elwes",3,0.0443786982248521
"Cary Grant",3,0.0443786982248521
"Caryn Peterson",1,0.014792899408284
"Casey Affleck",6,0.0887573964497041
"Casey Siemaszko",1,0.014792899408284
"Casper Van Dien",2,0.029585798816568
"Cassandra Freeman",1,0.014792899408284
"Catalina Saavedra",1,0.014792899408284
"Catalina Sandino Moreno",1,0.014792899408284
"Cate Blanchett",10,0.14792899408284
"Catherine An",1,0.014792899408284
"Catherine Deneuve",4,0.0591715976331361
"Catherine Hicks",1,0.014792899408284
"Catherine Keener",1,0.014792899408284
"Catherine O'Hara",2,0.029585798816568
"Catherine Zeta-Jones",1,0.014792899408284
"Cathy Cavadini",1,0.014792899408284
"Cathy Moriarty",1,0.014792899408284
"Cecilia Cheung",1,0.014792899408284
"Cecilia Roth",1,0.014792899408284
"Cedric the Entertainer",3,0.0443786982248521
"Cees Geel",1,0.014792899408284
"Chace Crawford",1,0.014792899408284
"Chad Bannon",1,0.014792899408284
"Chadwick Boseman",5,0.0739644970414201
"Chandra Malatitch",1,0.014792899408284
"Chaney Kley",1,0.014792899408284
"Channing Tatum",6,0.0887573964497041
"Chao Deng",1,0.014792899408284
"Charles Bronson",6,0.0887573964497041
"Charles Chaplin",1,0.014792899408284
"Charlie Cox",1,0.014792899408284
"Charlie Day",1,0.014792899408284
"Charlie Hunnam",4,0.0591715976331361
"Charlie Rowe",1,0.014792899408284
"Charlie Sheen",5,0.0739644970414201
"Charlize Theron",12,0.177514792899408
"Charlotte Gainsbourg",2,0.029585798816568
"Charlotte Rampling",2,0.029585798816568
"Charlton Heston",5,0.0739644970414201
"Charo Santos-Concio",1,0.014792899408284
"Chase Moore",1,0.014792899408284
"Chauncey Leopardi",1,0.014792899408284
"Chazz Palminteri",2,0.029585798816568
"Cheech Marin",1,0.014792899408284
"Chelcie Ross",1,0.014792899408284
"Cher",5,0.0739644970414201
"Chevy Chase",11,0.162721893491124
"Chiara D'Anna",1,0.014792899408284
"Chiara Mastroianni",2,0.029585798816568
"Chieko BaishÃƒÂ´",1,0.014792899408284
"Chiwetel Ejiofor",6,0.0887573964497041
"ChloÃƒÂ« Grace Moretz",3,0.0443786982248521
"ChloÃƒÂ« Sevigny",1,0.014792899408284
"Chloe Bennet",1,0.014792899408284
"Chowee Leow",1,0.014792899408284
"Chris Berman",1,0.014792899408284
"Chris Brown",1,0.014792899408284
"Chris Chalk",1,0.014792899408284
"Chris Cooper",3,0.0443786982248521
"Chris Eigeman",2,0.029585798816568
"Chris Elliott",1,0.014792899408284
"Chris Evans",7,0.103550295857988
"Chris Farley",1,0.014792899408284
"Chris Ferreira",1,0.014792899408284
"Chris Haywood",1,0.014792899408284
"Chris Hemsworth",10,0.14792899408284
"Chris J. Murray",1,0.014792899408284
"Chris Kattan",1,0.014792899408284
"Chris Klein",3,0.0443786982248521
"Chris Massoglia",1,0.014792899408284
"Chris Messina",3,0.0443786982248521
"Chris O'Donnell",3,0.0443786982248521
"Chris Pine",8,0.118343195266272
"Chris Pratt",5,0.0739644970414201
"Chris Rock",6,0.0887573964497041
"Chris Sarandon",1,0.014792899408284
"Chris Tucker",1,0.014792899408284
"Christa ThÃƒÂ©ret",1,0.014792899408284
"Christian Atanasiu",1,0.014792899408284
"Christian Bale",17,0.251479289940828
"Christian Friedel",1,0.014792899408284
"Christian McKay",1,0.014792899408284
"Christian Slater",5,0.0739644970414201
"Christian Taylor",1,0.014792899408284
"Christina Hendricks",3,0.0443786982248521
"Christina Ricci",2,0.029585798816568
"Christine Cavanaugh",1,0.014792899408284
"Christine Lahti",1,0.014792899408284
"Christoph Waltz",1,0.014792899408284
"Christopher Baker",1,0.014792899408284
"Christopher Eccleston",1,0.014792899408284
"Christopher Gorham",2,0.029585798816568
"Christopher Lambert",4,0.0591715976331361
"Christopher Lloyd",2,0.029585798816568
"Christopher McDonald",1,0.014792899408284
"Christopher Plummer",4,0.0591715976331361
"Christopher Reeve",5,0.0739644970414201
"Christopher Reid",1,0.014792899408284
"Christopher Shyer",1,0.014792899408284
"Christopher Walken",2,0.029585798816568
"Chuck Cooper",1,0.014792899408284
"Chuck Norris",5,0.0739644970414201
"Chyler Leigh",1,0.014792899408284
"CiarÃƒÂ¡n Hinds",1,0.014792899408284
"Cillian Murphy",1,0.014792899408284
"Cinda Adams",1,0.014792899408284
"Claire Danes",3,0.0443786982248521
"Claire Foy",1,0.014792899408284
"Clancy Brown",1,0.014792899408284
"Clare Higgins",1,0.014792899408284
"Claude Baz Moussawbaa",1,0.014792899408284
"Claudia Cardinale",1,0.014792899408284
"Clayne Crawford",1,0.014792899408284
"Cleavon Little",1,0.014792899408284
"Cleopatra Coleman",1,0.014792899408284
"Cliff Curtis",1,0.014792899408284
"Clint Eastwood",33,0.488165680473373
"Clive Owen",11,0.162721893491124
"Cloris Leachman",1,0.014792899408284
"Clu Gulager",1,0.014792899408284
"Cole Hauser",2,0.029585798816568
"Colin Farrell",14,0.207100591715976
"Colin Firth",6,0.0887573964497041
"Colin Ford",1,0.014792899408284
"Colin Hanks",2,0.029585798816568
"Colin Quinn",1,0.014792899408284
"Colin Woodell",1,0.014792899408284
"Colm Meaney",2,0.029585798816568
"Columbus Short",1,0.014792899408284
"Condola Rashad",1,0.014792899408284
"Connie Nielsen",2,0.029585798816568
"Connor Paolo",1,0.014792899408284
"Connor Price",1,0.014792899408284
"Conor Donovan",1,0.014792899408284
"Constance Brenneman",1,0.014792899408284
"Constance Wu",2,0.029585798816568
"Corbin Allred",1,0.014792899408284
"Corey Burton",1,0.014792899408284
"Corey Haim",2,0.029585798816568
"Cornelio Wall",1,0.014792899408284
"Courteney Cox",1,0.014792899408284
"Craig Bierko",1,0.014792899408284
"Craig Ferguson",1,0.014792899408284
"Craig Robinson",1,0.014792899408284
"Craig Sheffer",2,0.029585798816568
"Craig T. Nelson",3,0.0443786982248521
"Craig Wasson",1,0.014792899408284
"Crispin Glover",2,0.029585798816568
"Cristin Milioti",1,0.014792899408284
"Cristina Raines",1,0.014792899408284
"Cristina Rodlo",1,0.014792899408284
"Crusoe Kurddal",1,0.014792899408284
"Cuba Gooding Jr.",8,0.118343195266272
"Cybill Shepherd",1,0.014792899408284
"Cynthea Mercado",1,0.014792899408284
"Cynthia Erivo",1,0.014792899408284
"Cyril Raffaelli",2,0.029585798816568
"D. David Morin",1,0.014792899408284
"Dacre Montgomery",1,0.014792899408284
"Daisy Ridley",1,0.014792899408284
"Dakota Fanning",3,0.0443786982248521
"Dakota Johnson",4,0.0591715976331361
"Dale Dickey",1,0.014792899408284
"Dale Midkiff",1,0.014792899408284
"Damian Lewis",1,0.014792899408284
"Damien Nguyen",1,0.014792899408284
"Damon Wayans",2,0.029585798816568
"Dan Aykroyd",7,0.103550295857988
"Dan Castellaneta",1,0.014792899408284
"Dan Futterman",2,0.029585798816568
"Dan Leis",1,0.014792899408284
"Dan McComas",1,0.014792899408284
"Dan Monahan",3,0.0443786982248521
"Dan Stevens",1,0.014792899408284
"Dana Carvey",1,0.014792899408284
"Dana Ivgy",1,0.014792899408284
"Dana Snyder",1,0.014792899408284
"Danai Gurira",1,0.014792899408284
"Dane Cook",4,0.0591715976331361
"Dane DeHaan",4,0.0591715976331361
"Daniel Auteuil",1,0.014792899408284
"Daniel Bess",1,0.014792899408284
"Daniel BrÃƒÂ¼hl",2,0.029585798816568
"Daniel Craig",10,0.14792899408284
"Daniel Day-Lewis",8,0.118343195266272
"Daniel GimÃƒÂ©nez Cacho",1,0.014792899408284
"Daniel Kaluuya",1,0.014792899408284
"Daniel London",1,0.014792899408284
"Daniel Radcliffe",7,0.103550295857988
"Daniel Tay",1,0.014792899408284
"Danielle Harris",1,0.014792899408284
"Danielle Panabaker",2,0.029585798816568
"Danny Aiello",2,0.029585798816568
"Danny Bage",1,0.014792899408284
"Danny DeVito",6,0.0887573964497041
"Danny Elfman",1,0.014792899408284
"Danny Glover",5,0.0739644970414201
"Danny McBride",1,0.014792899408284
"Danny Pudi",1,0.014792899408284
"Danny Trejo",2,0.029585798816568
"Dany Boon",2,0.029585798816568
"DarÃƒÂ­o Grandinetti",1,0.014792899408284
"Daryl Hannah",1,0.014792899408284
"Dave Bautista",2,0.029585798816568
"Dave Chappelle",1,0.014792899408284
"Dave Foley",1,0.014792899408284
"Dave Franco",1,0.014792899408284
"Dave Goelz",1,0.014792899408284
"Dave Thomas",1,0.014792899408284
"Daveigh Chase",1,0.014792899408284
"David Aaron Baker",1,0.014792899408284
"David Andrews",1,0.014792899408284
"David Arkin",1,0.014792899408284
"David Arquette",4,0.0591715976331361
"David Bierend",1,0.014792899408284
"David Birkin",1,0.014792899408284
"David Bowie",1,0.014792899408284
"David Carradine",1,0.014792899408284
"David Caruso",1,0.014792899408284
"David Duchovny",7,0.103550295857988
"David Harbour",1,0.014792899408284
"David Hyde Pierce",1,0.014792899408284
"David Kaye",1,0.014792899408284
"David Keith",1,0.014792899408284
"David Koechner",1,0.014792899408284
"David McCullough",1,0.014792899408284
"David Niven",1,0.014792899408284
"David Oyelowo",2,0.029585798816568
"David Paymer",1,0.014792899408284
"David Rawle",1,0.014792899408284
"David Spade",4,0.0591715976331361
"David Strathairn",2,0.029585798816568
"David Thewlis",1,0.014792899408284
"David Thornton",1,0.014792899408284
